tariff,rule,alpha,flex_share,mean_emission_reduction_kgCO2,total_emission_reduction_kgCO2,mean_cost_change_EUR,total_cost_change_EUR,mean_shift_potential_kWh,mean_shift_out_kWh,mean_shift_in_kWh,mean_unallocated_shift_kWh,mean_max_L0_kWh,mean_max_L_shifted_kWh
flat,C,0.75,0.15,0.01670490443898468,2.8732435635053655,-3.953555828970398e-18,-6.800116025829084e-16,0.23091366279069767,0.23091366279069767,0.23091366279069767,-1.290957005378089e-18,1.0867093023255814,1.0807587209532292
flat,C,0.75,0.2,0.02226114306397063,3.828916607002949,-4.3569798931510504e-18,-7.494005416219807e-16,0.30788488372093026,0.30788488372093026,0.30788488372093026,1.0892449732877626e-18,1.0867093023255814,1.082314534907122
flat,C,1.0,0.1,0.01114448086639841,1.9168507090205265,-3.2273925134452225e-19,-5.551115123125783e-17,0.15394244186046513,0.15394244186046513,0.15394244186046513,3.832528609716202e-19,1.0867093023255814,1.0820244186046513
flat,C,1.0,0.15,0.01670490443898468,2.8732435635053655,-3.953555828970398e-18,-6.800116025829084e-16,0.23091366279069767,0.23091366279069767,0.23091366279069767,-1.290957005378089e-18,1.0867093023255814,1.0807587209532292
flat,C,1.0,0.2,0.02226114306397063,3.828916607002949,-4.3569798931510504e-18,-7.494005416219807e-16,0.30788488372093026,0.30788488372093026,0.30788488372093026,1.0892449732877626e-18,1.0867093023255814,1.082314534907122
rtp,A,,0.1,0.006929254174416265,1.1918317179995976,-0.009156623584313793,-1.5749392565019724,0.16002441860465116,0.16002441860465116,0.16002441860465116,-6.454785026890445e-19,1.0867093023255814,1.0873037790697675
rtp,A,,0.15,0.010410172770353774,1.790549716500849,-0.013728602547978433,-2.3613196382522905,0.24003662790697672,0.24003662790697672,0.24003662790697672,1.8557506952310028e-18,1.0867093023255814,1.0913093023312894
rtp,A,,0.2,0.013887395517512882,2.3886320290122156,-0.01829419920356018,-3.1466022630123507,0.32004883720930233,0.32004883720930233,0.32004883720930233,-1.290957005378089e-18,1.0867093023255814,1.09611162792415
rtp,B,,0.1,0.01114448086639841,1.9168507090205265,-0.00527551531107851,-0.9073886335055037,0.15394244186046513,0.15394244186046513,0.15394244186046513,3.832528609716202e-19,1.0867093023255814,1.0820244186046513
rtp,B,,0.15,0.01670490443898468,2.8732435635053655,-0.007906428734010497,-1.3599057422498055,0.23091366279069767,0.23091366279069767,0.23091366279069767,-1.290957005378089e-18,1.0867093023255814,1.0807587209532292
rtp,B,,0.2,0.02226114306397063,3.828916607002949,-0.010536781982496931,-1.8123265009894722,0.30788488372093026,0.30788488372093026,0.30788488372093026,1.0892449732877626e-18,1.0867093023255814,1.082314534907122
rtp,C,0.0,0.1,0.006929254174416265,1.1918317179995976,-0.009156623584313793,-1.5749392565019724,0.16002441860465116,0.16002441860465116,0.16002441860465116,-6.454785026890445e-19,1.0867093023255814,1.0873037790697675
rtp,C,0.0,0.15,0.010410172770353774,1.790549716500849,-0.013728602547978433,-2.3613196382522905,0.24003662790697672,0.24003662790697672,0.24003662790697672,1.8557506952310028e-18,1.0867093023255814,1.0913093023312894
rtp,C,0.0,0.2,0.013887395517512882,2.3886320290122156,-0.01829419920356018,-3.1466022630123507,0.32004883720930233,0.32004883720930233,0.32004883720930233,-1.290957005378089e-18,1.0867093023255814,1.09611162792415
rtp,C,0.25,0.1,0.008172705157028169,1.4057052870088451,-0.008936723622103921,-1.5371164630018743,0.15803023255813953,0.15803023255813953,0.15803023255813953,-1.8154082888129378e-19,1.0867093023255814,1.0860322674418605
rtp,C,0.25,0.15,0.012254459148348941,2.107766973516018,-0.01340007815698875,-2.304813443002065,0.2370453488372093,0.2370453488372093,0.2370453488372093,5.64793689852914e-19,1.0867093023255814,1.0869206395348838
